event_type,state,month,season,magnitude,magnitude_type,begin_lat,begin_lon,damage_property_num
Thunderstorm Wind,GEORGIA,3,MAM,52.0,EG,33.4757,-85.238,1000.0
Tornado,MICHIGAN,3,MAM,50.0,Unknown,41.79,-86.1,100000.0
Flash Flood,TENNESSEE,4,MAM,50.0,Unknown,36.03,-89.33,0.0
Thunderstorm Wind,TENNESSEE,4,MAM,52.0,EG,36.18,-88.16,0.0
Flash Flood,TENNESSEE,4,MAM,50.0,Unknown,36.3,-88.71,0.0
Flash Flood,TENNESSEE,4,MAM,50.0,Unknown,35.45,-89.78,0.0
Flash Flood,TENNESSEE,4,MAM,50.0,Unknown,36.3002,-88.3328,0.0
Hail,NEW YORK,4,MAM,0.75,Unknown,42.91,-77.75,0.0
Thunderstorm Wind,TENNESSEE,4,MAM,64.0,EG,35.82,-89.41,5000.0
Thunderstorm Wind,MISSISSIPPI,4,MAM,52.0,EG,34.81,-88.2,5000.0
Thunderstorm Wind,TENNESSEE,4,MAM,52.0,EG,35.6,-89.26,40000.0
Thunderstorm Wind,MISSISSIPPI,4,MAM,87.0,EG,34.3,-89.25,20000.0
Thunderstorm Wind,MISSISSIPPI,4,MAM,78.0,EG,34.33,-89.21,15000.0
Thunderstorm Wind,TENNESSEE,4,MAM,64.0,EG,35.82,-89.4,10000.0
Lightning,MISSISSIPPI,4,MAM,50.0,Unknown,34.43,-89.4,50000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,43.21,-77.42,1000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.93,-77.47,500.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.97,-77.38,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.81,-78.17,10000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,43.21,-77.57,1000.0
Hail,NEW YORK,4,MAM,1.25,Unknown,42.95,-77.59,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.98,-77.38,500.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.93,-77.27,500.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.92,-77.3,500.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.97,-77.22,500.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.95,-77.13,1000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.96,-77.14,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,MG,42.86,-77.85,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.98,-77.1,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.96,-77.13,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.96,-77.22,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.98,-77.18,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.91,-77.75,0.0
Hail,NEW YORK,4,MAM,1.0,Unknown,42.91,-77.61,0.0
Hail,NEW YORK,4,MAM,1.25,Unknown,42.85,-78.01,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.98,-77.1,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.84,-78.29,10000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.85,-78.01,2000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.88,-77.94,10000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.91,-77.88,10000.0
Hail,NEW YORK,4,MAM,1.0,Unknown,42.66,-78.54,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.91,-77.75,10000.0
Thunderstorm Wind,NEW YORK,4,MAM,52.0,MG,42.7799,-78.2089,0.0
Hail,NEW YORK,4,MAM,1.0,Unknown,42.74,-78.42,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.91,-77.42,500.0
Thunderstorm Wind,NEW YORK,4,MAM,83.0,EG,42.9784,-77.1132,0.0
Flash Flood,KENTUCKY,2,DJF,50.0,Unknown,37.15,-88.11,0.0
Flood,KENTUCKY,2,DJF,50.0,Unknown,37.0604,-88.1503,0.0
Flash Flood,KENTUCKY,2,DJF,50.0,Unknown,37.0781,-87.849,0.0
Debris Flow,KENTUCKY,2,DJF,50.0,Unknown,37.1542,-87.7796,10000.0
Flash Flood,KENTUCKY,2,DJF,50.0,Unknown,37.4003,-87.7142,0.0
Flood,WEST VIRGINIA,2,DJF,50.0,Unknown,38.41,-80.53,0.0
Flood,WEST VIRGINIA,2,DJF,50.0,Unknown,38.727,-81.671,0.0
Flood,WEST VIRGINIA,2,DJF,50.0,Unknown,38.0983,-82.1628,0.0
Marine High Wind,ATLANTIC NORTH,3,MAM,55.0,MG,42.34,-70.955,0.0
Marine High Wind,ATLANTIC NORTH,3,MAM,55.0,MG,42.456,-70.895,0.0
Marine High Wind,ATLANTIC NORTH,3,MAM,50.0,MG,41.639,-70.762,0.0
Tornado,ALABAMA,2,DJF,50.0,Unknown,34.4231,-87.7915,0.0
Tornado,ALABAMA,2,DJF,50.0,Unknown,34.3509,-88.077,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.97,-77.08,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.99,-77.09,500.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.97,-77.0,500.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,43.03,-76.62,10000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,43.28,-76.07,2000.0
Hail,NEW YORK,4,MAM,0.75,Unknown,42.91,-77.75,0.0
Hail,NEW YORK,4,MAM,0.75,Unknown,42.95,-77.22,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,43.24,-75.89,2000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.08,-78.43,2000.0
Marine Thunderstorm Wind,LAKE ERIE,4,MAM,50.0,MG,42.4943,-79.3535,0.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.96,-77.14,2000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,43.04,-76.63,500.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,43.29,-76.14,2000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.99,-77.05,500.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,43.04,-76.62,500.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,34.0,MG,32.0071,-80.8123,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,35.0,MG,31.9869,-80.8519,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,34.0,MG,32.109,-80.8391,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,34.0,MG,32.7732,-79.9055,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,37.0,MG,32.5051,-80.2943,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,42.0,MG,32.0071,-80.8123,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,41.0,MG,32.6415,-79.9676,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,39.0,MG,32.7512,-79.8707,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,45.0,MG,32.502,-79.099,0.0
Thunderstorm Wind,GEORGIA,3,MAM,45.0,EG,32.4902,-81.6825,10000.0
Thunderstorm Wind,GEORGIA,3,MAM,55.0,EG,31.4302,-81.384,0.0
Hail,GEORGIA,3,MAM,0.75,Unknown,31.832,-81.2609,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,38.0,MG,32.7732,-79.9055,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,34.0,MG,32.8065,-79.6284,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,35.0,MG,32.7585,-79.9529,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,38.0,MG,32.109,-80.8391,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,35.0,MG,32.0347,-80.903,0.0
Thunderstorm Wind,KANSAS,3,MAM,52.0,MG,37.59,-101.73,0.0
Thunderstorm Wind,KANSAS,3,MAM,52.0,MG,37.93,-100.73,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,41.0,MG,32.7732,-79.9055,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,42.0,MG,32.7512,-79.8707,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,34.0,MG,31.4,-80.866,0.0
Thunderstorm Wind,GEORGIA,3,MAM,55.0,EG,32.2,-81.31,0.0
Thunderstorm Wind,GEORGIA,3,MAM,55.0,EG,32.19,-81.22,0.0
Thunderstorm Wind,GEORGIA,3,MAM,45.0,EG,32.0,-80.99,10000.0
Thunderstorm Wind,SOUTH CAROLINA,3,MAM,50.0,EG,32.9131,-80.8007,0.0
Thunderstorm Wind,SOUTH CAROLINA,3,MAM,50.0,EG,32.8882,-80.8546,0.0
Thunderstorm Wind,SOUTH CAROLINA,3,MAM,45.0,EG,32.2315,-80.9239,5000.0
Thunderstorm Wind,SOUTH CAROLINA,3,MAM,45.0,EG,32.6401,-80.8727,1000.0
Thunderstorm Wind,SOUTH CAROLINA,3,MAM,50.0,EG,32.383,-80.7267,0.0
Thunderstorm Wind,SOUTH CAROLINA,3,MAM,50.0,EG,32.3897,-80.7448,0.0
Thunderstorm Wind,SOUTH CAROLINA,3,MAM,55.0,EG,32.2288,-80.727,0.0
Thunderstorm Wind,SOUTH CAROLINA,3,MAM,50.0,EG,32.7357,-80.5933,0.0
Thunderstorm Wind,SOUTH CAROLINA,3,MAM,50.0,EG,32.3787,-81.0292,0.0
Thunderstorm Wind,SOUTH CAROLINA,3,MAM,50.0,EG,32.7412,-80.5973,0.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,50.0,EG,34.92,-77.63,0.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,50.0,EG,34.7,-76.57,0.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,50.0,EG,34.76,-77.79,0.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,51.0,EG,34.7,-76.57,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,39.0,MG,31.9869,-80.8519,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,36.0,MG,32.0071,-80.8123,0.0
Marine Thunderstorm Wind,ATLANTIC SOUTH,3,MAM,34.0,MG,32.7585,-79.9529,0.0
Tornado,ILLINOIS,3,MAM,50.0,Unknown,38.386,-90.1139,0.0
Tornado,ILLINOIS,3,MAM,50.0,Unknown,38.8961,-90.2083,10000.0
Tornado,ILLINOIS,3,MAM,50.0,Unknown,38.6556,-89.7889,20000.0
Thunderstorm Wind,ILLINOIS,3,MAM,55.0,EG,38.64,-90.03,0.0
Thunderstorm Wind,ILLINOIS,3,MAM,65.0,EG,38.55,-90.17,0.0
Thunderstorm Wind,ILLINOIS,3,MAM,50.0,EG,38.49,-90.27,0.0
Thunderstorm Wind,ILLINOIS,3,MAM,50.0,EG,39.02,-90.26,0.0
Tornado,ILLINOIS,3,MAM,50.0,Unknown,38.4972,-89.8071,260000.0
Tornado,ILLINOIS,3,MAM,50.0,Unknown,38.5739,-89.7057,700000.0
Tornado,ILLINOIS,3,MAM,50.0,Unknown,38.9324,-89.188,110000.0
Tornado,ILLINOIS,3,MAM,50.0,Unknown,37.8326,-89.7271,50000.0
Thunderstorm Wind,ILLINOIS,3,MAM,78.0,EG,38.6,-89.82,35000.0
Thunderstorm Wind,ILLINOIS,3,MAM,70.0,EG,38.5222,-89.8942,0.0
Thunderstorm Wind,ILLINOIS,3,MAM,75.0,EG,38.66,-89.54,0.0
Thunderstorm Wind,ILLINOIS,3,MAM,70.0,EG,38.71,-89.42,0.0
Thunderstorm Wind,ILLINOIS,3,MAM,65.0,EG,38.61,-89.61,3000.0
Thunderstorm Wind,ILLINOIS,3,MAM,70.0,EG,38.61,-89.81,35000.0
Thunderstorm Wind,ILLINOIS,3,MAM,75.0,EG,38.61,-89.87,150000.0
Thunderstorm Wind,ILLINOIS,3,MAM,64.0,EG,38.43,-89.92,0.0
Thunderstorm Wind,ILLINOIS,3,MAM,60.0,EG,38.44,-89.16,1500.0
Thunderstorm Wind,ILLINOIS,3,MAM,60.0,EG,38.64,-88.95,10000.0
Thunderstorm Wind,ILLINOIS,3,MAM,55.0,EG,38.51,-89.96,0.0
Thunderstorm Wind,ILLINOIS,3,MAM,60.0,EG,38.33,-90.16,0.0
Thunderstorm Wind,ILLINOIS,3,MAM,60.0,EG,38.52,-90.21,0.0
Thunderstorm Wind,ILLINOIS,3,MAM,60.0,EG,38.6,-89.91,0.0
Thunderstorm Wind,ILLINOIS,3,MAM,70.0,EG,38.62,-89.86,0.0
Thunderstorm Wind,ILLINOIS,3,MAM,60.0,EG,38.53,-89.13,10000.0
Thunderstorm Wind,NEW YORK,4,MAM,50.0,EG,42.99,-77.11,0.0
Hail,NEW YORK,4,MAM,0.75,Unknown,42.91,-77.7,0.0
Hail,NEW YORK,4,MAM,0.75,Unknown,42.91,-77.75,0.0
Hail,NEW YORK,4,MAM,0.75,Unknown,42.91,-77.75,0.0
Heavy Rain,NEVADA,3,MAM,50.0,Unknown,39.52,-119.99,0.0
Hail,TEXAS,3,MAM,1.0,Unknown,34.3867,-100.0866,0.0
Thunderstorm Wind,VIRGINIA,3,MAM,50.0,EG,36.8075,-79.9184,500.0
Hail,ALABAMA,3,MAM,0.88,Unknown,32.6741,-86.4909,0.0
Hail,IDAHO,3,MAM,0.25,Unknown,44.2748,-111.4741,2000.0
Flash Flood,ALABAMA,4,MAM,50.0,Unknown,34.98,-87.51,0.0
Flash Flood,ALABAMA,4,MAM,50.0,Unknown,34.98,-87.46,0.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,50.0,EG,36.2686,-79.8439,500.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,50.0,EG,36.3557,-79.6803,500.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,50.0,EG,36.4092,-80.4706,500.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,50.0,EG,36.4066,-79.8207,500.0
Marine Thunderstorm Wind,GULF OF MEXICO,3,MAM,34.0,MG,30.13,-85.72,0.0
Marine Thunderstorm Wind,GULF OF MEXICO,3,MAM,40.0,MG,29.73,-85.4,0.0
Marine Thunderstorm Wind,GULF OF MEXICO,3,MAM,39.0,MG,30.13,-85.72,0.0
Thunderstorm Wind,MICHIGAN,3,MAM,57.0,MG,41.87,-84.08,0.0
Hail,INDIANA,3,MAM,1.0,Unknown,38.04,-86.12,0.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,60.0,EG,36.3703,-80.1817,10000.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,50.0,EG,36.3194,-80.6316,500.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,50.0,EG,36.5021,-80.5906,4000.0
Marine Thunderstorm Wind,GULF OF MEXICO,3,MAM,36.0,MG,30.21,-85.88,0.0
Thunderstorm Wind,VIRGINIA,3,MAM,50.0,EG,36.5794,-79.5224,500.0
Thunderstorm Wind,VIRGINIA,3,MAM,50.0,EG,36.7082,-79.4148,1000.0
Thunderstorm Wind,WEST VIRGINIA,3,MAM,60.0,EG,39.51,-80.51,10000.0
Thunderstorm Wind,VIRGINIA,3,MAM,50.0,EG,36.768,-80.0013,500.0
Thunderstorm Wind,VIRGINIA,3,MAM,55.0,EG,36.5667,-79.8661,8000.0
Thunderstorm Wind,VIRGINIA,3,MAM,50.0,EG,36.736,-80.3841,500.0
Lightning,VIRGINIA,3,MAM,50.0,Unknown,37.35,-79.18,4000.0
Thunderstorm Wind,VIRGINIA,3,MAM,55.0,EG,37.0818,-79.9333,5000.0
Thunderstorm Wind,VIRGINIA,3,MAM,50.0,EG,36.59,-79.2204,500.0
Thunderstorm Wind,VIRGINIA,3,MAM,50.0,EG,36.7806,-79.3053,1000.0
Thunderstorm Wind,FLORIDA,3,MAM,50.0,EG,30.77,-85.86,0.0
Thunderstorm Wind,FLORIDA,3,MAM,50.0,EG,30.53,-85.05,0.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,55.0,EG,31.47,-89.68,10000.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,60.0,EG,31.5501,-89.3658,50000.0
Hail,MISSISSIPPI,3,MAM,1.0,Unknown,31.5566,-90.2088,500.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,55.0,EG,31.4315,-89.5559,6000.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,50.0,EG,36.1494,-81.2011,3000.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,50.0,EG,36.5281,-80.5297,500.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,50.0,EG,36.1561,-81.124,10500.0
Thunderstorm Wind,NORTH CAROLINA,3,MAM,50.0,EG,36.3183,-80.8747,500.0
Thunderstorm Wind,VIRGINIA,3,MAM,55.0,EG,36.7791,-80.3201,10000.0
Thunderstorm Wind,NEW YORK,3,MAM,50.0,EG,43.2367,-77.0616,5000.0
Thunderstorm Wind,NEW YORK,3,MAM,50.0,EG,43.07,-77.1,5000.0
Tornado,MISSOURI,3,MAM,50.0,Unknown,37.264,-92.692,25000.0
Thunderstorm Wind,NEW YORK,3,MAM,50.0,EG,43.25,-76.0,2000.0
Thunderstorm Wind,NEW YORK,3,MAM,50.0,EG,43.42,-75.89,2000.0
Thunderstorm Wind,NEW YORK,3,MAM,50.0,EG,43.28,-76.06,2000.0
Thunderstorm Wind,NEW YORK,3,MAM,50.0,EG,43.0,-77.16,500.0
Thunderstorm Wind,NEW YORK,3,MAM,50.0,EG,42.92,-76.96,500.0
Thunderstorm Wind,NEW YORK,3,MAM,50.0,EG,43.29,-76.15,5000.0
Thunderstorm Wind,NEW YORK,3,MAM,50.0,EG,43.37,-76.15,2000.0
Thunderstorm Wind,NEW YORK,3,MAM,50.0,EG,43.46,-76.23,2000.0
Thunderstorm Wind,NEW YORK,3,MAM,50.0,EG,43.85,-76.18,2000.0
Thunderstorm Wind,NEW YORK,3,MAM,50.0,EG,43.24,-75.89,2000.0
Thunderstorm Wind,KANSAS,3,MAM,50.0,MG,39.4,-101.01,0.0
Marine Thunderstorm Wind,GULF OF MEXICO,3,MAM,48.0,MG,26.061,-97.215,0.0
Flash Flood,MISSISSIPPI,3,MAM,50.0,Unknown,32.55,-88.94,1000.0
Flash Flood,MISSISSIPPI,3,MAM,50.0,Unknown,32.8827,-88.5654,5000.0
Flood,TEXAS,4,MAM,50.0,Unknown,26.5513,-97.424,0.0
Tornado,MISSISSIPPI,3,MAM,50.0,Unknown,32.226,-88.702,0.0
Hail,MISSISSIPPI,3,MAM,0.75,Unknown,32.99,-89.06,0.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,50.0,EG,32.43,-89.09,0.0
Thunderstorm Wind,ARKANSAS,3,MAM,55.0,EG,33.17,-91.94,0.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,40.0,EG,32.16,-89.93,2000.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,55.0,EG,32.3,-89.89,0.0
Thunderstorm Wind,LOUISIANA,3,MAM,50.0,EG,32.74,-91.72,0.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,50.0,EG,33.72,-90.57,0.0
Tornado,MISSISSIPPI,3,MAM,50.0,Unknown,32.104,-88.913,0.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,40.0,EG,32.4,-89.04,30000.0
Tornado,MISSISSIPPI,3,MAM,50.0,Unknown,33.677,-89.761,0.0
Tornado,MISSISSIPPI,3,MAM,50.0,Unknown,31.39,-89.931,0.0
Tornado,MISSISSIPPI,3,MAM,50.0,Unknown,31.2864,-90.0404,0.0
Flood,OREGON,4,MAM,50.0,Unknown,43.6103,-119.0793,0.0
Marine Thunderstorm Wind,ATLANTIC NORTH,1,DJF,35.0,MG,38.86,-77.03,0.0
Marine Thunderstorm Wind,ATLANTIC NORTH,1,DJF,34.0,EG,38.64,-77.22,0.0
Marine Thunderstorm Wind,ATLANTIC NORTH,1,DJF,40.0,MG,38.31,-77.03,0.0
Marine Thunderstorm Wind,ATLANTIC NORTH,1,DJF,41.0,MG,38.31,-77.0,0.0
Marine Thunderstorm Wind,ATLANTIC NORTH,1,DJF,39.0,MG,38.31,-76.93,0.0
Marine Thunderstorm Wind,ATLANTIC NORTH,1,DJF,36.0,MG,38.23,-76.95,0.0
Marine Thunderstorm Wind,ATLANTIC NORTH,1,DJF,34.0,EG,38.68,-76.33,0.0
Marine Thunderstorm Wind,ATLANTIC NORTH,1,DJF,50.0,MG,38.404,-76.386,0.0
Tornado,MISSISSIPPI,3,MAM,50.0,Unknown,31.515,-89.588,0.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,50.0,EG,31.77,-89.35,0.0
Tornado,MISSISSIPPI,3,MAM,50.0,Unknown,31.8112,-89.2707,0.0
Tornado,MISSISSIPPI,3,MAM,50.0,Unknown,31.794,-89.445,0.0
Thunderstorm Wind,LOUISIANA,3,MAM,65.0,EG,32.805,-91.189,0.0
Tornado,MISSISSIPPI,3,MAM,50.0,Unknown,32.2767,-89.1952,0.0
Thunderstorm Wind,COLORADO,4,MAM,53.0,MG,38.07,-102.68,0.0
Marine Thunderstorm Wind,ATLANTIC NORTH,1,DJF,34.0,EG,38.591,-77.187,0.0
Marine Thunderstorm Wind,ATLANTIC NORTH,1,DJF,34.0,MG,38.33,-77.02,0.0
Marine Thunderstorm Wind,ATLANTIC NORTH,1,DJF,37.0,MG,38.579,-76.0575,0.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,70.0,EG,31.4645,-89.5615,600000.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,74.0,EG,31.4493,-89.3927,762874.9999999854
Hail,MISSISSIPPI,3,MAM,1.0,Unknown,31.49,-90.57,500.0
Hail,MISSISSIPPI,3,MAM,1.75,Unknown,31.49,-90.57,5000.0
Tornado,MISSISSIPPI,3,MAM,50.0,Unknown,31.683,-89.401,0.0
Hail,MISSISSIPPI,3,MAM,1.5,Unknown,33.66,-89.77,0.0
Hail,MISSISSIPPI,3,MAM,1.25,Unknown,33.75,-89.62,0.0
Tornado,MISSISSIPPI,3,MAM,50.0,Unknown,31.574,-89.686,0.0
Tornado,MISSISSIPPI,3,MAM,50.0,Unknown,31.434,-89.661,0.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,50.0,EG,31.89,-89.93,0.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,50.0,EG,32.28,-89.92,0.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,55.0,EG,31.83,-90.24,0.0
Thunderstorm Wind,MISSISSIPPI,3,MAM,55.0,EG,32.7,-88.51,0.0
Hail,MISSISSIPPI,3,MAM,2.75,Unknown,32.02,-89.28,0.0
Flash Flood,LOUISIANA,3,MAM,50.0,Unknown,32.76,-91.42,2000.0
Flash Flood,MISSISSIPPI,3,MAM,50.0,Unknown,33.75,-90.75,5000.0
Flash Flood,MISSISSIPPI,3,MAM,50.0,Unknown,33.77,-89.81,5000.0
Flash Flood,MISSISSIPPI,3,MAM,50.0,Unknown,33.6284,-89.7042,5000.0
Tornado,MISSISSIPPI,3,MAM,50.0,Unknown,32.0939,-89.1908,0.0
Tornado,MISSISSIPPI,3,MAM,50.0,Unknown,31.9618,-89.8603,0.0
Flash Flood,MISSISSIPPI,3,MAM,50.0,Unknown,31.98,-89.29,1000.0
Flash Flood,FLORIDA,4,MAM,50.0,Unknown,30.89,-87.51,0.0
Hail,SOUTH CAROLINA,4,MAM,0.75,Unknown,34.965,-81.872,0.0
Hail,SOUTH CAROLINA,4,MAM,1.0,Unknown,34.18,-82.15,0.0
Flood,CALIFORNIA,2,DJF,50.0,Unknown,38.93,-123.71,0.0
Tornado,IDAHO,4,MAM,50.0,Unknown,44.04,-111.93,0.0
Flood,CALIFORNIA,2,DJF,50.0,Unknown,40.6701,-124.2024,1100.0
Flood,CALIFORNIA,2,DJF,50.0,Unknown,40.52,-124.03,0.0
Heavy Rain,CALIFORNIA,2,DJF,50.0,Unknown,39.0432,-122.7764,3500.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,35.266,-91.6459,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,35.2754,-91.2412,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,36.1137,-92.1474,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,36.3491,-91.1219,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,36.2048,-91.1776,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,35.7579,-91.6459,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,35.6106,-91.2967,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,34.9822,-91.4937,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,34.6903,-91.319,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,36.1049,-91.0954,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,36.2528,-90.9725,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,35.0586,-93.3956,0.0
Flash Flood,CALIFORNIA,2,DJF,50.0,Unknown,34.331,-118.4396,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,35.0143,-92.7206,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,35.2944,-91.3942,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,35.1362,-91.4553,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,34.8707,-93.6601,0.0
Flash Flood,ARKANSAS,2,DJF,50.0,Unknown,35.7406,-91.5726,0.0
Flash Flood,VIRGINIA,2,DJF,50.0,Unknown,37.61,-77.45,0.0
Thunderstorm Wind,VIRGINIA,2,DJF,50.0,EG,37.69,-77.43,600.0
Thunderstorm Wind,VIRGINIA,2,DJF,50.0,EG,37.63,-77.56,0.0
Thunderstorm Wind,VIRGINIA,2,DJF,50.0,EG,37.59,-77.13,0.0
Flood,ARKANSAS,4,MAM,50.0,Unknown,35.2669,-91.6462,0.0
Thunderstorm Wind,MARYLAND,2,DJF,76.0,MG,39.3657,-77.739,250000.0
Thunderstorm Wind,WEST VIRGINIA,2,DJF,52.0,EG,39.3655,-77.7482,10000.0
Marine High Wind,LAKE HURON,2,DJF,57.0,MG,45.658,-84.464,0.0
Thunderstorm Wind,NEW JERSEY,4,MAM,55.0,EG,39.83,-75.06,0.0
Thunderstorm Wind,NEW JERSEY,4,MAM,50.0,EG,39.83,-75.04,0.0
Thunderstorm Wind,NEW JERSEY,4,MAM,50.0,EG,39.85,-75.0,0.0
Thunderstorm Wind,NEW JERSEY,4,MAM,50.0,EG,39.85,-75.02,0.0
Thunderstorm Wind,NEW JERSEY,4,MAM,55.0,EG,39.77,-74.71,0.0
Flash Flood,ARKANSAS,2,DJF,50.0,Unknown,35.0602,-92.4403,0.0
Hail,MISSISSIPPI,4,MAM,1.0,Unknown,34.7,-89.93,0.0
Thunderstorm Wind,CALIFORNIA,2,DJF,57.0,MG,34.3548,-118.4598,0.0
Flash Flood,CALIFORNIA,4,MAM,50.0,Unknown,34.27,-118.47,0.0
Flash Flood,CALIFORNIA,4,MAM,50.0,Unknown,34.2636,-118.4744,0.0
Hail,TEXAS,3,MAM,1.5,Unknown,30.64,-96.33,0.0
